oa_code,All people aged 16 to 74 in employment,All people: Part-time: 15 hours or less,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 15 hours or less,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 15 hours or less,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 48 hours,All females: Full-time: 49 hours or more
S92000003,"2,516,895","175,875","529,742","1,516,473","294,805","1,295,315","50,714","119,523","888,991","236,087","1,221,580","125,161","410,219","627,482","58,718"
S00088956,117,9,25,66,17,58,1,2,39,16,59,8,23,27,1
S00088957,40,3,6,20,11,22,-,1,11,10,18,3,5,9,1
S00088958,41,1,9,22,9,23,-,1,16,6,18,1,8,6,3
S00088959,43,2,8,23,10,28,1,2,18,7,15,1,6,5,3
S00088960,37,3,5,17,12,23,-,2,10,11,14,3,3,7,1
S00088961,80,7,3,45,25,43,4,-,23,16,37,3,3,22,9
S00088962,41,3,7,23,8,22,1,-,15,6,19,2,7,8,2
S00088963,46,2,10,26,8,25,-,2,17,6,21,2,8,9,2
S00088964,57,5,15,31,6,28,3,2,20,3,29,2,13,11,3
S00088965,76,5,14,40,17,39,3,1,21,14,37,2,13,19,3
S00088966,56,2,11,34,9,29,-,3,19,7,27,2,8,15,2
S00088967,39,2,9,19,9,18,-,1,9,8,21,2,8,10,1
S00088968,30,1,4,21,4,17,-,2,11,4,13,1,2,10,-
S00088969,96,12,14,56,14,53,2,1,36,14,43,10,13,20,-
S00088970,65,9,12,34,10,36,2,9,19,6,29,7,3,15,4
S00088971,46,3,7,28,8,25,1,2,14,8,21,2,5,14,-
S00088972,93,7,12,62,12,44,1,2,32,9,49,6,10,30,3
S00088973,68,8,18,39,3,40,2,7,29,2,28,6,11,10,1
S00088974,56,3,14,29,10,22,-,3,13,6,34,3,11,16,4
S00088975,53,8,5,33,7,31,3,2,19,7,22,5,3,14,-
S00088976,54,3,10,31,10,27,-,4,19,4,27,3,6,12,6
S00088977,37,3,6,19,9,17,1,3,6,7,20,2,3,13,2
S00088978,35,5,3,22,5,25,1,1,18,5,10,4,2,4,-
S00088979,67,1,7,48,11,35,1,1,24,9,32,-,6,24,2
S00088980,51,4,10,31,6,27,-,6,15,6,24,4,4,16,-
S00088981,41,7,4,24,6,18,3,-,11,4,23,4,4,13,2
S00088982,46,1,5,29,11,29,-,4,16,9,17,1,1,13,2
S00088983,25,2,4,15,4,10,1,-,7,2,15,1,4,8,2
S00088984,25,2,4,18,1,9,-,1,7,1,16,2,3,11,-
S00088985,61,4,10,43,4,37,3,8,23,3,24,1,2,20,1
S00088986,93,10,17,48,18,47,5,5,24,13,46,5,12,24,5
S00088987,42,1,7,27,7,24,-,1,18,5,18,1,6,9,2
S00088988,41,2,7,26,6,26,2,2,17,5,15,-,5,9,1
S00088989,60,6,14,28,12,36,3,9,17,7,24,3,5,11,5
S00088990,78,5,16,48,9,46,2,7,32,5,32,3,9,16,4
S00088991,88,9,18,57,4,46,2,9,31,4,42,7,9,26,-
S00088992,101,50,28,22,1,42,20,9,12,1,59,30,19,10,-
S00088993,71,7,19,36,9,39,3,8,21,7,32,4,11,15,2
S00088994,36,3,5,24,4,17,-,-,14,3,19,3,5,10,1
S00088995,45,8,6,27,4,19,1,2,14,2,26,7,4,13,2
S00088996,35,12,8,13,2,14,3,4,5,2,21,9,4,8,-
S00088997,95,8,20,54,13,53,6,6,33,8,42,2,14,21,5
S00088998,79,1,6,47,25,50,-,-,31,19,29,1,6,16,6
S00088999,73,7,13,48,5,41,1,5,31,4,32,6,8,17,1
S00089000,100,4,10,75,11,44,1,3,32,8,56,3,7,43,3
S00089001,59,7,10,32,10,32,2,3,19,8,27,5,7,13,2
S00089002,73,5,15,36,17,40,1,2,24,13,33,4,13,12,4
S00089003,68,9,7,46,6,35,3,1,27,4,33,6,6,19,2
S00089004,64,4,8,40,12,34,2,1,22,9,30,2,7,18,3
S00089005,65,4,18,32,11,30,2,3,19,6,35,2,15,13,5
S00089006,60,2,7,37,14,37,-,-,25,12,23,2,7,12,2
S00089007,81,5,12,50,14,48,2,2,34,10,33,3,10,16,4
