oa_code,All families in households,No dependent children in family,One dependent child in family aged 0 to 4,One dependent child in family aged 5 to 11,One dependent child in family aged 12 to 18,Two dependent children in family: Youngest aged 0 to 4,Two dependent children in family: Youngest aged 5 to 11 ,Two dependent children in family: Youngest aged 12 to 18 ,Three or more dependent children in family: Youngest aged 0 to 4 ,Three or more dependent children in family: Youngest aged 5 to 11,Three or more dependent children in family: Youngest aged 12 to 18,All dependent children in households
S92000003,"1,495,610","881,316","103,732","74,696","126,002","88,832","92,602","47,802","42,732","32,510","5,386","1,035,881"
S00088956,72,31,4,4,5,14,7,1,3,2,1,76
S00088957,20,16,-,-,1,-,-,-,1,2,-,11
S00088958,26,7,-,4,3,2,7,1,-,2,-,34
S00088959,24,14,2,-,-,3,2,-,2,1,-,21
S00088960,23,15,-,-,1,2,3,1,1,-,-,16
S00088961,19,14,1,-,-,-,-,1,2,1,-,20
S00088962,24,11,-,-,1,3,6,-,-,3,-,29
S00088963,27,14,4,-,3,1,1,1,3,-,-,23
S00088964,30,19,2,1,1,4,1,2,-,-,-,18
S00088965,45,27,3,2,5,-,2,1,3,2,-,33
S00088966,33,20,2,2,1,4,-,-,1,3,-,28
S00088967,16,10,1,1,2,-,-,2,-,-,-,8
S00088968,20,13,1,1,2,-,2,-,-,-,1,11
S00088969,45,27,-,2,5,4,2,1,2,2,-,34
S00088970,33,23,3,2,2,-,2,1,-,-,-,13
S00088971,20,11,2,-,2,1,2,-,1,1,-,17
S00088972,25,17,3,-,2,1,1,-,1,-,-,12
S00088973,41,24,4,4,5,1,1,-,2,-,-,24
S00088974,32,19,1,1,4,-,3,3,-,-,1,23
S00088975,14,8,2,1,-,1,-,-,-,2,-,11
S00088976,17,15,-,-,1,-,1,-,-,-,-,3
S00088977,5,5,-,-,-,-,-,-,-,-,-,-
S00088978,10,7,-,1,1,-,-,-,1,-,-,5
S00088979,16,13,2,-,-,-,1,-,-,-,-,4
S00088980,7,6,1,-,-,-,-,-,-,-,-,1
S00088981,9,6,1,-,2,-,-,-,-,-,-,3
S00088982,15,14,1,-,-,-,-,-,-,-,-,1
S00088983,13,10,-,1,1,1,-,-,-,-,-,4
S00088984,8,8,-,-,-,-,-,-,-,-,-,-
S00088985,17,13,4,-,-,-,-,-,-,-,-,4
S00088986,25,24,-,1,-,-,-,-,-,-,-,1
S00088987,12,11,-,-,1,-,-,-,-,-,-,1
S00088988,7,3,3,1,-,-,-,-,-,-,-,4
S00088989,18,13,2,-,-,1,2,-,-,-,-,8
S00088990,20,16,3,-,1,-,-,-,-,-,-,4
S00088991,13,11,-,-,1,-,-,-,1,-,-,7
S00088992,13,12,-,1,-,-,-,-,-,-,-,1
S00088993,28,15,6,-,-,3,-,1,-,1,2,23
S00088994,9,6,1,1,-,1,-,-,-,-,-,4
S00088995,14,13,-,-,-,1,-,-,-,-,-,2
S00088996,25,15,1,3,3,-,1,-,-,2,-,15
S00088997,47,29,2,2,3,3,3,4,1,-,-,30
S00088998,36,17,7,2,1,6,2,1,-,-,-,28
S00088999,34,23,3,2,1,2,2,-,-,1,-,22
S00089000,25,22,1,1,1,-,-,-,-,-,-,3
S00089001,33,23,2,1,3,-,3,1,-,-,-,14
S00089002,35,16,3,1,2,2,5,1,2,3,-,39
S00089003,25,16,6,1,-,1,-,-,1,-,-,12
S00089004,25,15,4,-,1,2,-,1,1,1,-,18
S00089005,42,22,5,5,2,4,3,1,-,-,-,29
S00089006,32,17,2,3,1,2,4,3,-,-,-,25
S00089007,27,16,1,1,2,4,1,2,-,-,-,18
S00089008,18,17,-,1,-,-,-,-,-,-,-,1
S00089009,26,18,7,1,-,-,-,-,-,-,-,8
S00089010,33,22,1,1,2,2,1,1,2,1,-,21
S00089011,23,14,5,-,2,2,-,-,-,-,-,11
S00089012,26,22,1,-,-,1,-,-,2,-,-,11
S00089013,19,15,4,-,-,-,-,-,-,-,-,4
S00089014,22,14,4,1,2,-,-,-,-,1,-,10
S00089015,21,18,1,1,-,-,-,-,1,-,-,5
S00089016,21,18,2,-,-,-,1,-,-,-,-,4
S00089017,18,16,1,1,-,-,-,-,-,-,-,2
S00089018,37,25,2,-,-,6,3,-,-,1,-,24
S00089019,36,24,4,1,3,3,1,-,-,-,-,16
S00089020,21,16,3,-,1,-,1,-,-,-,-,6
S00089021,22,15,1,-,2,2,1,-,1,-,-,12
S00089022,19,15,4,-,-,-,-,-,-,-,-,4
S00089023,29,21,4,-,1,-,-,1,1,1,-,13
S00089024,7,6,1,-,-,-,-,-,-,-,-,1
S00089025,10,10,-,-,-,-,-,-,-,-,-,-
S00089026,15,14,1,-,-,-,-,-,-,-,-,1
S00089027,25,24,-,-,1,-,-,-,-,-,-,1
S00089028,13,13,-,-,-,-,-,-,-,-,-,-
S00089029,16,13,3,-,-,-,-,-,-,-,-,3
S00089030,14,12,1,1,-,-,-,-,-,-,-,2
S00089031,28,19,2,-,3,-,1,1,2,-,-,17
S00089032,11,4,3,1,-,1,-,1,-,1,-,12
S00089033,25,21,1,-,-,1,1,1,-,-,-,7
S00089034,17,13,1,-,3,-,-,-,-,-,-,4
S00089035,19,11,3,2,1,1,1,-,-,-,-,10
S00089036,10,7,2,-,-,-,-,1,-,-,-,4
S00089037,18,11,4,3,-,-,-,-,-,-,-,7
S00089038,10,8,2,-,-,-,-,-,-,-,-,2
S00089039,17,13,2,-,-,2,-,-,-,-,-,7
S00089040,27,9,4,3,5,4,1,1,-,-,-,24
S00089041,46,32,1,4,3,1,3,-,2,-,-,24
S00089042,21,9,5,-,3,1,2,-,1,-,-,17
S00089043,43,10,10,5,7,4,5,1,1,-,-,45
S00089044,20,10,2,1,3,2,1,-,-,1,-,15
S00089045,24,13,3,2,4,-,1,1,-,-,-,13
S00089046,31,23,1,-,2,3,1,1,-,-,-,13
S00089047,33,24,3,-,2,1,2,-,1,-,-,14
S00089048,29,22,1,1,1,4,-,-,-,-,-,11
S00089049,39,26,4,-,3,1,1,1,-,1,2,22
S00089050,35,21,1,1,3,5,2,1,-,1,-,24
S00089051,38,25,2,3,5,1,-,-,2,-,-,18
S00089052,43,33,3,1,2,3,1,-,-,-,-,14
S00089053,24,12,6,2,-,-,2,1,1,-,-,18
