oa_code,All people,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 34 hours unpaid care a week,Provides 35 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
S92000003,"5,295,403","4,803,172","273,333","46,315","40,501","132,082"
S00088956,230,215,10,-,1,4
S00088957,66,63,3,-,-,-
S00088958,90,87,1,1,-,1
S00088959,83,76,7,-,-,-
S00088960,68,64,4,-,-,-
S00088961,217,180,16,4,4,13
S00088962,86,80,4,2,-,-
S00088963,89,85,3,-,-,1
S00088964,88,81,7,-,-,-
S00088965,144,128,14,1,1,-
S00088966,120,115,5,-,-,-
S00088967,52,49,3,-,-,-
S00088968,56,49,6,-,1,-
S00088969,154,150,4,-,-,-
S00088970,105,100,4,-,1,-
S00088971,78,71,4,-,1,2
S00088972,129,124,5,-,-,-
S00088973,144,134,8,2,-,-
S00088974,120,115,2,-,2,1
S00088975,77,72,3,1,-,1
S00088976,69,66,2,-,-,1
S00088977,60,59,-,-,-,1
S00088978,60,59,1,-,-,-
S00088979,85,84,-,1,-,-
S00088980,66,65,1,-,-,-
S00088981,57,51,3,-,1,2
S00088982,66,65,1,-,-,-
S00088983,65,58,6,-,-,1
S00088984,55,53,2,-,-,-
S00088985,80,78,1,-,-,1
S00088986,131,128,1,1,-,1
S00088987,63,62,-,1,-,-
S00088988,67,64,3,-,-,-
S00088989,95,95,-,-,-,-
S00088990,107,105,-,1,-,1
S00088991,127,117,8,2,-,-
S00088992,541,537,1,-,-,3
S00088993,123,116,3,-,3,1
S00088994,57,54,2,-,1,-
S00088995,62,62,-,-,-,-
S00088996,102,94,5,-,1,2
S00088997,152,141,11,-,-,-
S00088998,126,119,5,1,1,-
S00088999,123,117,6,-,-,-
S00089000,120,112,8,-,-,-
S00089001,115,105,7,1,1,1
S00089002,135,120,10,1,-,4
S00089003,118,114,2,1,-,1
S00089004,97,91,6,-,-,-
S00089005,133,119,5,3,-,6
S00089006,104,97,7,-,-,-
S00089007,122,113,7,-,-,2
S00089008,73,73,-,-,-,-
S00089009,106,104,1,1,-,-
S00089010,129,122,6,-,-,1
S00089011,155,155,-,-,-,-
S00089012,117,114,2,-,1,-
S00089013,69,67,2,-,-,-
S00089014,117,115,1,-,1,-
S00089015,93,91,1,-,1,-
S00089016,90,83,5,-,1,1
S00089017,83,82,1,-,-,-
S00089018,148,136,7,-,1,4
S00089019,134,129,4,1,-,-
S00089020,79,74,4,-,1,-
S00089021,83,77,4,1,-,1
S00089022,96,96,-,-,-,-
S00089023,99,93,2,1,1,2
S00089024,65,62,3,-,-,-
S00089025,63,61,2,-,-,-
S00089026,67,67,-,-,-,-
S00089027,107,103,2,2,-,-
S00089028,78,72,5,1,-,-
S00089029,82,78,4,-,-,-
S00089030,66,66,-,-,-,-
S00089031,143,141,2,-,-,-
S00089032,84,78,3,-,-,3
S00089033,95,87,2,3,-,3
S00089034,58,56,1,-,-,1
S00089035,106,104,1,-,-,1
S00089036,67,61,5,-,-,1
S00089037,87,81,4,-,1,1
S00089038,58,52,6,-,-,-
S00089039,80,74,4,-,2,-
S00089040,91,90,1,-,-,-
S00089041,225,210,10,2,1,2
S00089042,68,61,3,1,-,3
S00089043,148,144,3,-,-,1
S00089044,71,64,4,2,-,1
S00089045,73,71,1,1,-,-
S00089046,248,231,12,2,-,3
S00089047,110,101,5,-,-,4
S00089048,91,83,3,2,-,3
S00089049,130,117,6,1,1,5
S00089050,108,93,9,-,2,4
S00089051,146,133,11,-,-,2
S00089052,148,140,7,-,-,1
S00089053,114,112,-,1,-,1
S00089054,76,74,1,-,-,1
S00089055,86,81,5,-,-,-
S00089056,71,67,2,1,1,-
S00089057,85,83,1,1,-,-
S00089058,96,89,4,1,-,2
S00089059,55,53,1,-,-,1
S00089060,61,60,-,-,-,1
S00089061,75,75,-,-,-,-
S00089062,53,48,3,-,2,-
S00089063,83,80,2,-,-,1
S00089064,84,82,1,-,-,1
S00089065,95,94,-,-,1,-
S00089066,64,62,1,1,-,-
S00089067,108,106,2,-,-,-
S00089068,73,71,1,-,-,1
S00089069,60,57,3,-,-,-
S00089070,127,122,5,-,-,-
S00089071,88,85,-,-,1,2
S00089072,113,113,-,-,-,-
S00089073,94,85,8,-,1,-
S00089074,145,134,5,3,1,2
S00089075,87,84,3,-,-,-
S00089076,113,107,1,1,2,2
S00089077,90,84,3,2,-,1
S00089078,52,46,4,-,1,1
S00089079,61,56,-,2,-,3
S00089080,100,97,1,1,1,-
S00089081,74,72,2,-,-,-
S00089082,82,71,2,4,4,1
S00089083,120,110,7,2,-,1
S00089084,100,97,-,1,1,1
S00089085,121,111,6,-,2,2
S00089086,100,88,7,-,2,3
S00089087,141,134,5,-,-,2
S00089088,93,85,1,1,4,2
S00089089,110,101,6,1,1,1
S00089090,126,115,5,2,2,2
S00089091,150,138,7,-,1,4
S00089092,171,159,5,4,1,2
S00089093,166,157,4,2,1,2
S00089094,90,83,4,-,-,3
S00089095,119,109,3,3,1,3
S00089096,97,91,2,2,-,2
S00089097,83,80,2,-,-,1
S00089098,82,75,4,1,1,1
S00089099,120,112,5,-,2,1
S00089100,101,94,5,-,-,2
S00089101,75,72,2,-,-,1
S00089102,86,83,-,1,1,1
S00089103,89,85,2,-,1,1
