oa_code,All households,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Social rented,Social rented: Rented from council (Local authority),Social rented: Other social rented,Private rented,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of a household member,Private rented: Other,Living rent free
S92000003,"2,372,777","1,470,986","660,643","800,175","10,168","576,419","312,745","263,674","294,892","263,459","4,181","22,670","4,582","30,480"
S00088956,74,68,14,53,1,2,2,-,3,3,-,-,-,1
S00088957,26,22,13,9,-,-,-,-,4,4,-,-,-,-
S00088958,27,25,9,15,1,-,-,-,2,2,-,-,-,-
S00088959,32,19,7,12,-,4,4,-,6,6,-,-,-,3
S00088960,23,21,10,11,-,-,-,-,2,2,-,-,-,-
S00088961,22,15,10,5,-,-,-,-,6,5,-,-,1,1
S00088962,26,22,13,9,-,1,1,-,1,1,-,-,-,2
S00088963,33,29,18,11,-,-,-,-,2,1,-,1,-,2
S00088964,33,29,14,15,-,-,-,-,4,4,-,-,-,-
S00088965,58,46,32,14,-,3,3,-,8,8,-,-,-,1
S00088966,50,31,15,16,-,13,12,1,6,6,-,-,-,-
S00088967,22,17,10,7,-,-,-,-,4,4,-,-,-,1
S00088968,21,17,12,5,-,2,1,1,2,2,-,-,-,-
S00088969,56,49,21,28,-,1,1,-,4,2,2,-,-,2
S00088970,48,27,12,15,-,-,-,-,19,19,-,-,-,2
S00088971,41,23,10,13,-,-,-,-,16,12,2,2,-,2
S00088972,75,36,10,25,1,4,3,1,34,26,-,6,2,1
S00088973,71,27,21,6,-,35,35,-,9,8,-,1,-,-
S00088974,59,12,4,7,1,44,44,-,3,2,-,1,-,-
S00088975,39,21,4,17,-,3,3,-,15,14,-,1,-,-
S00088976,45,15,7,8,-,3,2,1,24,22,-,2,-,3
S00088977,40,10,4,6,-,1,1,-,28,26,1,1,-,1
S00088978,33,17,6,11,-,1,-,1,13,9,-,3,1,2
S00088979,49,24,6,18,-,3,3,-,21,21,-,-,-,1
S00088980,45,14,5,9,-,9,9,-,21,20,-,1,-,1
S00088981,43,15,6,9,-,15,5,10,13,13,-,-,-,-
S00088982,39,15,7,8,-,5,4,1,18,17,-,1,-,1
S00088983,44,-,-,-,-,42,1,41,2,2,-,-,-,-
S00088984,44,8,3,5,-,28,1,27,8,8,-,-,-,-
S00088985,50,21,7,14,-,3,3,-,25,22,-,3,-,1
S00088986,77,26,4,22,-,3,1,2,46,43,2,-,1,2
S00088987,37,10,4,5,1,2,1,1,25,23,-,2,-,-
S00088988,57,1,1,-,-,49,1,48,7,6,-,1,-,-
S00088989,51,15,2,11,2,1,1,-,32,29,-,3,-,3
S00088990,63,25,8,17,-,13,11,2,24,20,-,4,-,1
S00088991,81,31,14,16,1,3,3,-,46,43,-,3,-,1
S00088992,72,5,3,2,-,66,65,1,1,1,-,-,-,-
S00088993,61,18,5,12,1,20,1,19,18,15,-,2,1,5
S00088994,34,6,3,2,1,2,2,-,24,23,-,1,-,2
S00088995,36,9,1,8,-,-,-,-,27,23,1,3,-,-
S00088996,41,17,13,4,-,14,14,-,10,10,-,-,-,-
S00088997,67,56,28,28,-,-,-,-,10,9,-,1,-,1
S00088998,57,33,5,28,-,-,-,-,22,22,-,-,-,2
S00088999,54,43,23,20,-,1,1,-,9,8,-,-,1,1
S00089000,89,49,11,38,-,2,2,-,36,31,-,5,-,2
S00089001,55,51,38,13,-,-,-,-,3,3,-,-,-,1
S00089002,53,40,18,22,-,1,1,-,12,11,-,1,-,-
S00089003,43,16,8,8,-,1,-,1,25,25,-,-,-,1
S00089004,51,31,10,21,-,1,1,-,19,18,-,1,-,-
S00089005,56,51,26,25,-,-,-,-,4,4,-,-,-,1
S00089006,42,33,14,19,-,1,-,1,8,8,-,-,-,-
S00089007,62,45,17,28,-,-,-,-,17,16,-,1,-,-
S00089008,48,34,4,30,-,-,-,-,13,11,-,2,-,1
S00089009,61,31,6,25,-,2,-,2,28,27,-,1,-,-
S00089010,67,54,14,40,-,-,-,-,13,11,-,2,-,-
S00089011,86,16,4,12,-,30,4,26,39,36,-,2,1,1
S00089012,61,35,16,19,-,1,1,-,25,22,-,3,-,-
S00089013,41,26,9,17,-,2,2,-,13,12,-,-,1,-
S00089014,67,43,9,31,3,1,-,1,20,19,-,1,-,3
S00089015,54,25,3,22,-,-,-,-,28,27,-,1,-,1
S00089016,54,26,10,16,-,1,1,-,27,26,-,1,-,-
S00089017,50,22,3,19,-,-,-,-,27,27,-,-,-,1
S00089018,54,41,24,17,-,-,-,-,12,12,-,-,-,1
S00089019,70,38,12,26,-,14,13,1,18,18,-,-,-,-
S00089020,48,20,2,18,-,2,2,-,26,25,-,-,1,-
S00089021,45,33,20,13,-,-,-,-,11,11,-,-,-,1
S00089022,52,28,12,16,-,2,2,-,21,20,-,1,-,1
S00089023,48,32,17,15,-,-,-,-,13,10,-,3,-,3
S00089024,47,22,6,16,-,2,1,1,23,23,-,-,-,-
S00089025,48,21,6,15,-,1,-,1,24,24,-,-,-,2
S00089026,44,24,5,19,-,-,-,-,19,17,-,1,1,1
S00089027,71,31,4,27,-,2,1,1,34,33,-,1,-,4
S00089028,59,35,6,29,-,-,-,-,24,24,-,-,-,-
S00089029,59,29,7,22,-,10,5,5,19,13,-,6,-,1
S00089030,48,23,1,22,-,2,-,2,23,22,-,1,-,-
S00089031,80,45,8,18,19,3,1,2,29,27,-,2,-,3
S00089032,30,18,4,14,-,1,1,-,11,10,-,1,-,-
S00089033,51,25,6,19,-,6,4,2,20,19,-,1,-,-
S00089034,34,19,9,10,-,2,1,1,13,10,-,3,-,-
S00089035,73,24,3,20,1,32,1,31,17,16,-,1,-,-
S00089036,39,15,5,10,-,4,-,4,19,18,-,1,-,1
S00089037,54,25,8,15,2,-,-,-,25,24,-,1,-,4
S00089038,39,1,1,-,-,2,1,1,36,34,2,-,-,-
S00089039,44,7,-,6,1,9,-,9,28,28,-,-,-,-
S00089040,39,3,1,1,1,34,34,-,2,1,-,-,1,-
S00089041,70,41,13,25,3,25,8,17,3,2,-,1,-,1
S00089042,28,2,1,1,-,24,24,-,2,2,-,-,-,-
S00089043,59,4,2,2,-,54,54,-,1,1,-,-,-,-
S00089044,34,3,-,3,-,29,29,-,2,2,-,-,-,-
S00089045,36,18,11,7,-,14,13,1,3,3,-,-,-,1
S00089046,43,38,22,16,-,-,-,-,5,5,-,-,-,-
S00089047,52,39,22,17,-,4,4,-,8,8,-,-,-,1
S00089048,46,27,10,17,-,15,9,6,1,1,-,-,-,3
S00089049,53,36,14,22,-,13,12,1,3,3,-,-,-,1
S00089050,48,30,15,15,-,13,13,-,3,3,-,-,-,2
S00089051,71,27,10,17,-,15,15,-,29,25,-,4,-,-
S00089052,70,46,22,24,-,16,16,-,7,4,1,2,-,1
S00089053,68,22,8,14,-,24,12,12,22,22,-,-,-,-
S00089054,48,21,5,16,-,1,1,-,26,26,-,-,-,-
S00089055,57,24,4,20,-,13,10,3,19,17,1,1,-,1
S00089056,50,22,-,22,-,2,2,-,26,22,-,4,-,-
S00089057,57,15,7,8,-,27,26,1,15,14,-,1,-,-
S00089058,70,24,7,16,1,24,7,17,21,21,-,-,-,1
S00089059,39,19,5,14,-,8,2,6,12,11,-,1,-,-
S00089060,38,9,1,8,-,13,3,10,16,16,-,-,-,-
S00089061,41,20,7,13,-,3,2,1,18,18,-,-,-,-
S00089062,32,8,3,5,-,10,9,1,13,13,-,-,-,1
S00089063,48,14,2,12,-,4,3,1,30,30,-,-,-,-
S00089064,55,20,8,11,1,15,8,7,20,20,-,-,-,-
S00089065,67,18,2,16,-,17,15,2,32,32,-,-,-,-
S00089066,39,14,2,12,-,9,9,-,16,14,-,2,-,-
S00089067,52,13,7,5,1,12,6,6,27,26,-,1,-,-
S00089068,42,13,5,8,-,10,7,3,18,16,-,2,-,1
S00089069,32,6,1,5,-,13,11,2,13,11,-,1,1,-
S00089070,71,26,3,23,-,16,10,6,29,28,-,1,-,-
S00089071,57,15,4,11,-,25,5,20,13,13,-,-,-,4
S00089072,73,25,3,22,-,23,22,1,25,22,-,3,-,-
S00089073,63,24,11,13,-,18,6,12,20,19,-,1,-,1
S00089074,75,33,5,28,-,25,24,1,16,15,-,1,-,1
S00089075,46,12,4,8,-,8,8,-,26,25,-,1,-,-
S00089076,75,21,11,10,-,47,47,-,5,4,-,-,1,2
S00089077,55,21,5,16,-,15,13,2,17,16,-,1,-,2
S00089078,31,10,5,5,-,19,18,1,2,2,-,-,-,-
S00089079,25,14,7,7,-,6,6,-,5,5,-,-,-,-
S00089080,42,6,3,3,-,33,33,-,3,3,-,-,-,-
