oa_code,All people aged 16 to 74 in employment,Work mainly at or from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other (2)
S92000003,"2,400,925","259,561","314,629","461,992","411,591","363,459","155,057","70,437","53,134","48,185","262,880"
S00088956,113,9,2,15,65,9,-,1,-,-,12
S00088957,38,9,-,4,14,7,-,-,-,1,3
S00088958,41,1,-,10,20,2,1,-,-,2,5
S00088959,43,8,1,8,14,2,-,-,-,-,10
S00088960,37,5,-,2,25,-,2,-,-,-,3
S00088961,74,45,6,2,12,4,2,-,-,-,3
S00088962,39,8,1,4,22,2,-,-,-,-,2
S00088963,45,4,3,1,11,22,-,-,-,-,4
S00088964,53,8,2,2,8,32,-,-,-,-,1
S00088965,70,19,1,15,10,12,-,-,1,2,10
S00088966,54,9,-,6,13,20,-,-,-,-,6
S00088967,36,5,1,3,7,12,-,-,1,1,6
S00088968,30,10,-,-,6,8,-,-,1,-,5
S00088969,89,15,6,12,41,5,-,-,-,-,10
S00088970,57,6,19,15,10,2,-,-,-,2,3
S00088971,42,6,15,11,6,-,2,-,-,-,2
S00088972,77,5,38,15,7,2,1,-,-,1,8
S00088973,63,9,25,11,9,1,1,-,-,-,7
S00088974,49,5,18,15,4,-,1,-,1,-,5
S00088975,44,4,17,12,3,-,1,-,-,-,7
S00088976,42,2,11,10,7,4,1,-,-,-,7
S00088977,30,3,9,4,5,4,1,-,-,-,4
S00088978,29,3,8,7,3,2,-,-,1,1,4
S00088979,58,4,17,12,9,3,2,-,-,-,11
S00088980,42,1,12,8,10,6,1,-,-,-,4
S00088981,36,3,9,11,4,1,1,-,-,-,7
S00088982,43,3,17,8,6,3,-,-,1,-,5
S00088983,24,6,4,6,2,1,2,-,-,-,3
S00088984,24,4,13,2,3,-,-,-,-,-,2
S00088985,57,5,25,10,2,2,-,-,1,1,11
S00088986,72,4,30,15,13,2,-,-,-,-,8
S00088987,37,5,12,8,2,2,-,2,-,2,4
S00088988,38,5,10,7,5,2,3,-,-,-,6
S00088989,51,2,18,6,10,2,4,-,-,1,8
S00088990,69,5,21,15,12,5,4,-,-,1,6
S00088991,67,6,20,24,7,4,-,-,-,1,5
S00088992,21,-,6,9,1,4,-,-,-,-,1
S00088993,53,4,18,11,7,5,-,-,-,1,7
S00088994,29,4,8,6,7,-,-,-,-,-,4
S00088995,35,4,20,6,2,-,1,-,-,-,2
S00088996,21,2,8,4,1,4,1,-,-,-,1
S00088997,88,5,14,39,15,6,2,-,-,-,7
S00088998,79,6,13,35,8,3,-,-,2,-,12
S00088999,69,4,9,29,11,6,2,-,-,-,8
S00089000,93,4,31,29,13,7,2,-,-,1,6
S00089001,57,3,15,13,16,1,1,-,1,-,7
